sequence	dino score	matijao score	viktor score
dka;	4.0	3.5	3.8
ohba	4.5	4.5	4.2
c5A4	3.0	3.0	3.5
u3Sd	3.5	3.5	3.4
2T3e	3.5	3.0	3.0
f3KH	3.5	3.5	3.3
bppg	4.5	4.0	4.5
hhsf	5.0	4.5	4.8
uYPi	3.5	3.5	3.3
hC1j	3.0	3.5	3.0
kpu9	4.0	3.5	3.6
mldD	3.5	3.0	3.4
mlAa	3.5	3.5	3.6
noag	4.5	4.5	4.7
o7VC	3.0	3.0	3.3
spFf	3.5	3.5	3.8
xqCD	3.5	3.0	3.2
rCfo	3.5	3.5	3.5
5sbH	3.5	3.5	2.8
tprU	3.5	4.0	3.7
uhLM	3.5	4.0	3.9
dIcv	4.0	3.5	3.9
eatw	4.5	4.0	4.2
x3ru	4.0	3.5	4.0
7yvl	4.0	4.0	3.3
szGU	3.5	4.0	3.9
pAKy	3.5	3.5	3.2
B6jT	2.5	2.5	2.8
CrbY	3.5	3.0	3.2
ZDZR	4.0	4.0	3.9
HTEo	4.0	4.5	4.1
sFde	4.0	4.0	3.9
Gnbs	4.0	4.0	4.0
kHEt	3.5	4.0	3.8
LITM	4.5	4.5	4.4
AwJU	3.5	3.5	2.7
zfKF	4.0	4.0	3.7
jLnW	3.0	2.5	3.9
ManW	3.5	3.5	3.7
6OoN	2.5	3.0	2.7
O59n	3.5	3.5	2.6
Pibr	4.0	4.0	3.6
IUQY	4.0	4.0	4.1
RDGR	4.5	4.0	4.2
SFDO	4.5	4.5	4.5
T3xK	3.0	2.5	3.8
oAUW	3.5	3.0	3.7
1yBV	3.0	3.0	3.4
RnhW	3.5	3.0	3.8
DXkP	3.5	3.5	3.7
HfYE	3.5	3.5	2.5
Z6RV	3.5	3.5	3.3
w0b8	3.0	3.0	3.4
5x1b	2.5	2.5	3.1
2J3F	3.0	3.0	3.5
43RA	4.0	3.5	3.5
cNr4	3.5	3.5	3.2
5fAL	3.5	3.0	3.6
4u86	4.5	4.5	3.4
2rn7	4.0	4.5	3.9
HL8D	3.5	4.0	4.0
98y2	4.5	4.5	4.2
5d5'	4.0	3.0	3.2
n;;j	4.0	3.5	4.5
gk7[	3.5	3.5	3.9
rok8	4.5	4.5	4.5
qevn	4.0	4.5	4.2
,g7f	3.5	3.5	2.7
ncrr	4.5	4.5	4.7
bo]c	3.5	3.5	3.7
vj0j	4.5	4.5	3.9
=8,=	3.0	3.0	2.0
gsv0	4.0	4.0	3.8
g,9x	4.0	3.5	4.0
92sb	4.0	4.5	4.3
x527	4.0	4.5	4.4
x5n9	4.0	3.5	4.2
hvh,	4.0	3.5	4.5
xqvf	4.0	3.5	4.5
0vrn	4.5	4.5	4.4
/glj	3.5	4.0	4.2
9bia	4.5	5.0	4.0
hi.]	3.0	3.0	3.0
ynb6	4.0	3.5	3.9
ioii	5.0	5.0	4.8
uzz9	4.5	4.5	4.6
fu5p	4.5	4.5	4.5
3zmn	4.0	4.5	4.5
,yc]	3.5	3.5	3.4
61qd	3.5	3.0	3.7
cjf9	4.5	4.5	4.2
f1fk	4.5	4.5	4.5
nlwq	4.5	4.5	4.2
o/kt	3.5	2.5	3.6
61o-	4.0	4.0	2.5
-2ks	3.5	4.0	3.3
,paw	4.5	4.5	4.2
5sue	4.5	4.5	4.3
